id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,presentase_sembuh,presentase_meninggal
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,21.4,1.85
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,90.4,3.91
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,77.36,7.55
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,100.0,0.0
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,64.47,9.21
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,68.89,15.56
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,64.84,2.2
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,63.16,12.28
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,67.27,7.27
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,60.78,17.65
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,68.66,5.97
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,57.5,7.5
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,66.67,7.14
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,64.71,8.82
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,65.52,8.62
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,71.43,9.52
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,75.0,7.14
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,77.46,6.36
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,72.0,10.0
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,56.0,8.0
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,48.53,8.82
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,81.82,0.0
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,63.16,15.79
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,58.82,17.65
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,56.86,13.73
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,39.39,9.09
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,50.0,3.85
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,70.59,0.0
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,70.37,11.11
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,85.71,14.29
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,69.23,2.56
3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,55.17,5.17
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,67.57,5.41
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,71.43,11.43
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,48.28,17.24
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,81.25,12.5
3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,51.11,10.0
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,67.86,8.93
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,72.0,4.0
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,57.69,9.62
3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,64.86,10.81
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,58.62,10.34
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,60.0,8.0
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,64.0,0.0
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,54.35,10.87
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,63.64,3.03
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,42.11,7.02
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,17.65,11.76
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,68.18,9.09
3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,55.56,7.41
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,78.26,4.35
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,64.29,14.29
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,81.82,3.03
